Name,DexOrder,SpeciesTag,SpeciesName,SpeciesTitle,AnatomyConcept,Diet,SocialBehavior,Temperament,HabitatBiomeTag,ActivityCycleTag,PrimaryElement,ElementalAffinities,Role,BaseMaxHealth,BaseAttackPower,BaseDefensePower,BaseStamina,BaseWalkSpeed,BaseRunSpeed,CaptureDifficultyModifier,WorkSuitabilityLevels,WorkSuitabilityTags,PassiveTraitTags,ActiveSkillTags,ActiveSkillElementTags,ActiveSkillCooldowns,ActiveSkillDamageMultipliers,ActiveSkillTelegraphs,PartnerSkillTag,MountedWeaponTag,DropItemTags,DropItemQuantities,ParentSpeciesA,ParentSpeciesB
MasterEcho_011_Gravegorg,11,Echo.Gravegorg,Gravegorg,PrimordialMegafauna HerdHerbivore,Original primordialmegafauna anatomy built around gravegorg ecological silhouette; not a palette variant.,Carnivore,HerdHerbivore,Territorial,Biome.ScorchedObsidianCaldera,Activity.Diurnal,Geo,(Geo),Combat,387.7,27.6,20.4,126.0,206.0,298.7,0.97,"(0,0,0,0,0,0,0,0,0,4,0,4)","(Work.Medicine,Work.Handiwork)","(Trait.Sturdy,Trait.Alert)","(Skill.Gravegorg.Signature,Skill.Gravegorg.Utility,Skill.Gravegorg.Ultimate)","(Element.Geo,Element.Geo,Element.Geo)","(2.5,8.2,15.0)","(0.77,1.04,1.62)","(0.35,0.65,1.35)",Partner.Gravegorg,MountWeapon.Gravegorg,"(Item.Meat,Item.Fiber,Item.GeoOrgan)","(3,3,2)",,
MasterEcho_012_Amberhorn,12,Echo.Amberhorn,Amberhorn,PrimordialMegafauna HerdHerbivore,Original primordialmegafauna anatomy built around amberhorn ecological silhouette; not a palette variant.,Omnivore,HerdHerbivore,Territorial,Biome.ScorchedObsidianCaldera,Activity.Nocturnal,Geo,(Geo),Combat,394.7,27.8,20.5,126.6,219.0,317.6,0.97,"(1,0,0,0,0,0,0,0,0,0,0,0)",(Work.Mining),"(Trait.Sturdy,Trait.Alert)","(Skill.Amberhorn.Signature,Skill.Amberhorn.Utility,Skill.Amberhorn.Ultimate)","(Element.Geo,Element.Geo,Element.Geo)","(3.0,9.0,16.5)","(0.77,1.05,1.62)","(0.2,0.45,0.9)",Partner.Amberhorn,MountWeapon.Amberhorn,"(Item.Meat,Item.Fiber,Item.GeoOrgan)","(1,4,1)",,
MasterEcho_013_Spirebehemoth,13,Echo.Spirebehemoth,Spirebehemoth,PrimordialMegafauna HerdHerbivore,Original primordialmegafauna anatomy built around spirebehemoth ecological silhouette; not a palette variant.,Carnivore,HerdHerbivore,Territorial,Biome.ScorchedObsidianCaldera,Activity.Diurnal,Geo,(Geo),Combat,401.8,27.9,20.7,127.2,232.0,336.4,0.97,"(0,2,0,2,0,0,0,0,0,0,0,0)","(Work.Gathering,Work.Kindling)","(Trait.Sturdy,Trait.Alert)","(Skill.Spirebehemoth.Signature,Skill.Spirebehemoth.Utility,Skill.Spirebehemoth.Ultimate)","(Element.Geo,Element.Geo,Element.Geo)","(3.5,9.8,18.0)","(0.77,1.05,1.62)","(0.25,0.55,1.05)",Partner.Spirebehemoth,MountWeapon.Spirebehemoth,"(Item.Meat,Item.Fiber,Item.GeoOrgan)","(2,5,2)",,
MasterEcho_014_Mossback,14,Echo.Mossback,Mossback,PrimordialMegafauna HerdHerbivore,Original primordialmegafauna anatomy built around mossback ecological silhouette; not a palette variant.,Carnivore,HerdHerbivore,Territorial,Biome.ScorchedObsidianCaldera,Activity.Crepscular,Geo,(Geo),Combat,409.1,28.1,20.8,127.8,245.0,355.2,0.98,"(0,0,3,0,0,0,3,0,0,0,0,0)","(Work.Farming,Work.Crafting)","(Trait.Sturdy,Trait.Alert)","(Skill.Mossback.Signature,Skill.Mossback.Utility,Skill.Mossback.Ultimate)","(Element.Geo,Element.Geo,Element.Geo)","(4.0,5.0,19.5)","(0.78,1.05,1.63)","(0.3,0.65,1.2)",Partner.Mossback,MountWeapon.Mossback,"(Item.Meat,Item.Fiber,Item.GeoOrgan)","(3,6,1)",,
MasterEcho_015_Ironhide,15,Echo.Ironhide,Ironhide,PrimordialMegafauna HerdHerbivore,Original primordialmegafauna anatomy built around ironhide ecological silhouette; not a palette variant.,Omnivore,HerdHerbivore,Territorial,Biome.ScorchedObsidianCaldera,Activity.Diurnal,Geo,"(Geo,Astra)",Combat,416.4,28.3,21.0,128.4,258.0,374.1,0.98,"(0,0,0,4,0,0,0,0,0,4,0,0)","(Work.Kindling,Work.Medicine)","(Trait.Sturdy,Trait.Alert)","(Skill.Ironhide.Signature,Skill.Ironhide.Utility,Skill.Ironhide.Ultimate)","(Element.Geo,Element.Astra,Element.Geo)","(2.0,5.8,21.0)","(0.78,1.05,1.63)","(0.35,0.45,1.35)",Partner.Ironhide,MountWeapon.Ironhide,"(Item.Meat,Item.Fiber,Item.GeoOrgan)","(1,2,2)",,
MasterEcho_016_Rootcolossus,16,Echo.Rootcolossus,Rootcolossus,PrimordialMegafauna HerdHerbivore,Original primordialmegafauna anatomy built around rootcolossus ecological silhouette; not a palette variant.,Carnivore,HerdHerbivore,Territorial,Biome.ScorchedObsidianCaldera,Activity.Nocturnal,Geo,(Geo),Combat,423.9,28.4,21.1,129.0,271.0,392.9,0.98,"(1,0,0,0,1,0,0,0,0,0,0,0)","(Work.Mining,Work.Building)","(Trait.Sturdy,Trait.Alert)","(Skill.Rootcolossus.Signature,Skill.Rootcolossus.Utility,Skill.Rootcolossus.Ultimate)","(Element.Geo,Element.Geo,Element.Geo)","(2.5,6.6,22.5)","(0.78,1.06,1.63)","(0.2,0.55,0.9)",Partner.Rootcolossus,MountWeapon.Rootcolossus,"(Item.Meat,Item.Fiber,Item.GeoOrgan)","(2,3,1)",,
MasterEcho_017_Quakehorn,17,Echo.Quakehorn,Quakehorn,PrimordialMegafauna HerdHerbivore,Original primordialmegafauna anatomy built around quakehorn ecological silhouette; not a palette variant.,Carnivore,HerdHerbivore,Territorial,Biome.ScorchedObsidianCaldera,Activity.Diurnal,Geo,(Geo),Combat,431.5,28.6,21.3,129.6,284.0,411.8,0.98,"(0,0,0,2,0,2,0,0,0,0,0,0)","(Work.Kindling,Work.Cooling)","(Trait.Sturdy,Trait.Alert)","(Skill.Quakehorn.Signature,Skill.Quakehorn.Utility,Skill.Quakehorn.Ultimate)","(Element.Geo,Element.Geo,Element.Geo)","(3.0,7.4,24.0)","(0.78,1.06,1.64)","(0.25,0.65,1.05)",Partner.Quakehorn,MountWeapon.Quakehorn,"(Item.Meat,Item.Fiber,Item.GeoOrgan)","(3,4,2)",,
MasterEcho_018_Dawnmammoth,18,Echo.Dawnmammoth,Dawnmammoth,PrimordialMegafauna HerdHerbivore,Original primordialmegafauna anatomy built around dawnmammoth ecological silhouette; not a palette variant.,Omnivore,HerdHerbivore,Territorial,Biome.ScorchedObsidianCaldera,Activity.Crepscular,Geo,(Geo),Combat,439.2,28.7,21.4,130.3,180.0,261.0,0.98,"(0,0,0,0,0,0,3,0,0,0,0,0)",(Work.Crafting),"(Trait.Sturdy,Trait.Alert)","(Skill.Dawnmammoth.Signature,Skill.Dawnmammoth.Utility,Skill.Dawnmammoth.Ultimate)","(Element.Geo,Element.Geo,Element.Geo)","(3.5,8.2,12.0)","(0.78,1.06,1.64)","(0.3,0.45,1.2)",Partner.Dawnmammoth,MountWeapon.Dawnmammoth,"(Item.Meat,Item.Fiber,Item.GeoOrgan)","(1,5,1)",,
MasterEcho_019_Emberback,19,Echo.Emberback,Emberback,PrimordialMegafauna HerdHerbivore,Original primordialmegafauna anatomy built around emberback ecological silhouette; not a palette variant.,Carnivore,HerdHerbivore,Territorial,Biome.ScorchedObsidianCaldera,Activity.Diurnal,Geo,(Geo),Combat,447.1,28.9,21.5,130.9,193.0,279.8,0.99,"(0,0,0,0,0,0,0,4,0,4,0,0)","(Work.Transport,Work.Medicine)","(Trait.Sturdy,Trait.Alert)","(Skill.Emberback.Signature,Skill.Emberback.Utility,Skill.Emberback.Ultimate)","(Element.Geo,Element.Geo,Element.Geo)","(4.0,9.0,13.5)","(0.79,1.06,1.65)","(0.35,0.55,1.35)",Partner.Emberback,MountWeapon.Emberback,"(Item.Meat,Item.Fiber,Item.GeoOrgan)","(2,6,2)",,
MasterEcho_020_Stonegrazer,20,Echo.Stonegrazer,Stonegrazer,PrimordialMegafauna HerdHerbivore,Original primordialmegafauna anatomy built around stonegrazer ecological silhouette; not a palette variant.,Carnivore,HerdHerbivore,Territorial,Biome.ScorchedObsidianCaldera,Activity.Nocturnal,Geo,"(Geo,Volt)",Combat,455.0,29.1,21.7,131.5,206.0,298.7,0.99,"(1,0,0,0,0,0,0,0,1,0,0,0)","(Work.Mining,Work.Generator)","(Trait.Sturdy,Trait.Alert)","(Skill.Stonegrazer.Signature,Skill.Stonegrazer.Utility,Skill.Stonegrazer.Ultimate)","(Element.Geo,Element.Volt,Element.Geo)","(2.0,9.8,15.0)","(0.79,1.07,1.65)","(0.2,0.65,0.9)",Partner.Stonegrazer,MountWeapon.Stonegrazer,"(Item.Meat,Item.Fiber,Item.GeoOrgan)","(3,2,1)",,
MasterEcho_021_Volthound,21,Echo.Volthound,Volthound,ApexPredators PackHunter,Original apexpredators anatomy built around volthound ecological silhouette; not a palette variant.,Omnivore,PackHunter,Territorial,Biome.SylvanRainforest,Activity.Diurnal,Abyssal,(Abyssal),Combat,463.1,29.2,21.8,132.1,219.0,361.3,0.99,"(0,0,0,0,3,0,0,0,0,0,3,0)","(Work.Building,Work.Watering)","(Trait.Sturdy,Trait.Alert)","(Skill.Volthound.Signature,Skill.Volthound.Utility,Skill.Volthound.Ultimate)","(Element.Abyssal,Element.Abyssal,Element.Abyssal)","(2.5,5.0,16.5)","(0.79,1.07,1.65)","(0.25,0.45,1.05)",Partner.Volthound,MountWeapon.Volthound,"(Item.Meat,Item.Fiber,Item.AbyssalOrgan)","(1,3,2)",,
MasterEcho_022_Cinderclaw,22,Echo.Cinderclaw,Cinderclaw,ApexPredators PackHunter,Original apexpredators anatomy built around cinderclaw ecological silhouette; not a palette variant.,Carnivore,PackHunter,Territorial,Biome.SylvanRainforest,Activity.Crepscular,Abyssal,(Abyssal),Combat,471.2,29.4,22.0,132.7,232.0,382.8,0.99,"(0,0,0,0,0,0,0,4,0,0,0,4)","(Work.Transport,Work.Handiwork)","(Trait.Sturdy,Trait.Alert)","(Skill.Cinderclaw.Signature,Skill.Cinderclaw.Utility,Skill.Cinderclaw.Ultimate)","(Element.Abyssal,Element.Abyssal,Element.Abyssal)","(3.0,5.8,18.0)","(0.79,1.07,1.66)","(0.3,0.55,1.2)",Partner.Cinderclaw,MountWeapon.Cinderclaw,"(Item.Meat,Item.Fiber,Item.AbyssalOrgan)","(2,4,1)",,
MasterEcho_023_Umbralon,23,Echo.Umbralon,Umbralon,ApexPredators PackHunter,Original apexpredators anatomy built around umbralon ecological silhouette; not a palette variant.,Carnivore,PackHunter,Territorial,Biome.SylvanRainforest,Activity.Diurnal,Abyssal,(Abyssal),Combat,479.5,29.5,22.1,133.3,245.0,404.2,0.99,"(1,0,0,0,0,0,0,0,0,0,1,0)","(Work.Mining,Work.Watering)","(Trait.Sturdy,Trait.Alert)","(Skill.Umbralon.Signature,Skill.Umbralon.Utility,Skill.Umbralon.Ultimate)","(Element.Abyssal,Element.Abyssal,Element.Abyssal)","(3.5,6.6,19.5)","(0.79,1.07,1.66)","(0.35,0.65,1.35)",Partner.Umbralon,MountWeapon.Umbralon,"(Item.Meat,Item.Fiber,Item.AbyssalOrgan)","(3,5,2)",,
MasterEcho_024_Frostfox,24,Echo.Frostfox,Frostfox,ApexPredators PackHunter,Original apexpredators anatomy built around frostfox ecological silhouette; not a palette variant.,Omnivore,PackHunter,Territorial,Biome.SylvanRainforest,Activity.Nocturnal,Abyssal,(Abyssal),Combat,487.9,29.7,22.2,133.9,258.0,425.7,1.0,"(0,2,0,0,0,0,0,0,0,0,0,0)",(Work.Gathering),"(Trait.Sturdy,Trait.Alert)","(Skill.Frostfox.Signature,Skill.Frostfox.Utility,Skill.Frostfox.Ultimate)","(Element.Abyssal,Element.Abyssal,Element.Abyssal)","(4.0,7.4,21.0)","(0.8,1.08,1.66)","(0.2,0.45,0.9)",Partner.Frostfox,MountWeapon.Frostfox,"(Item.Meat,Item.Fiber,Item.AbyssalOrgan)","(1,6,1)",,
MasterEcho_025_Dreadstalker,25,Echo.Dreadstalker,Dreadstalker,ApexPredators PackHunter,Original apexpredators anatomy built around dreadstalker ecological silhouette; not a palette variant.,Carnivore,PackHunter,Territorial,Biome.SylvanRainforest,Activity.Diurnal,Abyssal,"(Abyssal,Torrent)",Combat,496.4,29.9,22.4,134.5,271.0,447.1,1.0,"(0,0,3,0,3,0,0,0,0,0,0,0)","(Work.Farming,Work.Building)","(Trait.Sturdy,Trait.Alert)","(Skill.Dreadstalker.Signature,Skill.Dreadstalker.Utility,Skill.Dreadstalker.Ultimate)","(Element.Abyssal,Element.Torrent,Element.Abyssal)","(2.0,8.2,22.5)","(0.8,1.08,1.67)","(0.25,0.55,1.05)",Partner.Dreadstalker,MountWeapon.Dreadstalker,"(Item.Meat,Item.Fiber,Item.AbyssalOrgan)","(2,2,2)",,
MasterEcho_026_Pyrehound,26,Echo.Pyrehound,Pyrehound,ApexPredators PackHunter,Original apexpredators anatomy built around pyrehound ecological silhouette; not a palette variant.,Carnivore,PackHunter,Territorial,Biome.SylvanRainforest,Activity.Crepscular,Abyssal,(Abyssal),Combat,505.1,30.0,22.5,135.1,284.0,468.6,1.0,"(0,0,0,4,0,0,0,4,0,0,0,0)","(Work.Kindling,Work.Transport)","(Trait.Sturdy,Trait.Alert)","(Skill.Pyrehound.Signature,Skill.Pyrehound.Utility,Skill.Pyrehound.Ultimate)","(Element.Abyssal,Element.Abyssal,Element.Abyssal)","(2.5,9.0,24.0)","(0.8,1.08,1.67)","(0.3,0.65,1.2)",Partner.Pyrehound,MountWeapon.Pyrehound,"(Item.Meat,Item.Fiber,Item.AbyssalOrgan)","(3,3,1)",,
MasterEcho_027_Gladefang,27,Echo.Gladefang,Gladefang,ApexPredators PackHunter,Original apexpredators anatomy built around gladefang ecological silhouette; not a palette variant.,Omnivore,PackHunter,Territorial,Biome.SylvanRainforest,Activity.Diurnal,Abyssal,(Abyssal),Combat,513.8,30.2,22.7,135.7,180.0,297.0,1.0,"(0,0,0,0,1,0,0,0,0,0,1,0)","(Work.Building,Work.Watering)","(Trait.Sturdy,Trait.Alert)","(Skill.Gladefang.Signature,Skill.Gladefang.Utility,Skill.Gladefang.Ultimate)","(Element.Abyssal,Element.Abyssal,Element.Abyssal)","(3.0,9.8,12.0)","(0.8,1.08,1.67)","(0.35,0.45,1.35)",Partner.Gladefang,MountWeapon.Gladefang,"(Item.Meat,Item.Fiber,Item.AbyssalOrgan)","(1,4,2)",,
MasterEcho_028_Stormstalker,28,Echo.Stormstalker,Stormstalker,ApexPredators PackHunter,Original apexpredators anatomy built around stormstalker ecological silhouette; not a palette variant.,Carnivore,PackHunter,Territorial,Biome.SylvanRainforest,Activity.Nocturnal,Abyssal,(Abyssal),Combat,522.7,30.3,22.8,136.3,193.0,318.4,1.0,"(0,2,0,0,0,2,0,0,0,0,0,0)","(Work.Gathering,Work.Cooling)","(Trait.Sturdy,Trait.Alert)","(Skill.Stormstalker.Signature,Skill.Stormstalker.Utility,Skill.Stormstalker.Ultimate)","(Element.Abyssal,Element.Abyssal,Element.Abyssal)","(3.5,5.0,13.5)","(0.8,1.09,1.68)","(0.2,0.55,0.9)",Partner.Stormstalker,MountWeapon.Stormstalker,"(Item.Meat,Item.Fiber,Item.AbyssalOrgan)","(2,5,1)",,
MasterEcho_029_Bloodjaw,29,Echo.Bloodjaw,Bloodjaw,ApexPredators PackHunter,Original apexpredators anatomy built around bloodjaw ecological silhouette; not a palette variant.,Carnivore,PackHunter,Territorial,Biome.SylvanRainforest,Activity.Diurnal,Abyssal,(Abyssal),Combat,531.7,30.5,22.9,136.9,206.0,339.9,1.01,"(0,0,0,0,3,0,3,0,0,0,0,0)","(Work.Building,Work.Crafting)","(Trait.Sturdy,Trait.Alert)","(Skill.Bloodjaw.Signature,Skill.Bloodjaw.Utility,Skill.Bloodjaw.Ultimate)","(Element.Abyssal,Element.Abyssal,Element.Abyssal)","(4.0,5.8,15.0)","(0.81,1.09,1.68)","(0.25,0.65,1.05)",Partner.Bloodjaw,MountWeapon.Bloodjaw,"(Item.Meat,Item.Fiber,Item.AbyssalOrgan)","(3,6,2)",,
MasterEcho_030_Dunehunter,30,Echo.Dunehunter,Dunehunter,ApexPredators PackHunter,Original apexpredators anatomy built around dunehunter ecological silhouette; not a palette variant.,Omnivore,PackHunter,Territorial,Biome.SylvanRainforest,Activity.Crepscular,Abyssal,"(Abyssal,Astra)",Combat,540.8,30.7,23.1,137.5,219.0,361.3,1.01,"(0,0,0,0,0,0,0,4,0,0,0,0)",(Work.Transport),"(Trait.Sturdy,Trait.Alert)","(Skill.Dunehunter.Signature,Skill.Dunehunter.Utility,Skill.Dunehunter.Ultimate)","(Element.Abyssal,Element.Astra,Element.Abyssal)","(2.0,6.6,16.5)","(0.81,1.09,1.68)","(0.3,0.45,1.2)",Partner.Dunehunter,MountWeapon.Dunehunter,"(Item.Meat,Item.Fiber,Item.AbyssalOrgan)","(1,2,1)",,
MasterEcho_031_Gloomclaw,31,Echo.Gloomclaw,Gloomclaw,ApexPredators PackHunter,Original apexpredators anatomy built around gloomclaw ecological silhouette; not a palette variant.,Carnivore,PackHunter,Territorial,Biome.SylvanRainforest,Activity.Diurnal,Abyssal,(Abyssal),Combat,550.0,30.8,23.2,138.1,232.0,382.8,1.01,"(0,0,0,0,0,0,0,0,1,0,1,0)","(Work.Generator,Work.Watering)","(Trait.Sturdy,Trait.Alert)","(Skill.Gloomclaw.Signature,Skill.Gloomclaw.Utility,Skill.Gloomclaw.Ultimate)","(Element.Abyssal,Element.Abyssal,Element.Abyssal)","(2.5,7.4,18.0)","(0.81,1.09,1.69)","(0.35,0.55,1.35)",Partner.Gloomclaw,MountWeapon.Gloomclaw,"(Item.Meat,Item.Fiber,Item.AbyssalOrgan)","(2,3,2)",,
