Name,SpeciesTag,Temperament,DietTag,SocialGroupTag,PerceptionRadius,TerritoryRadius,HungerSecondsUntilForage,FleeHealthThreshold,DefendHealthThreshold,bCanMigrateDuringWorldEvents,bFormsGroups,bDefendsYoung
Ecosystem_017_Quakehorn,Echo.Quakehorn,PackHunter,Diet.Carnivore,Group.Pack.03,2950,850,1050,0.24,0.50,false,true,true
Ecosystem_018_Dawnmammoth,Echo.Dawnmammoth,Territorial,Diet.Carnivore,Group.Pack.04,3200,1000,600,0.27,0.55,true,false,false
Ecosystem_019_Emberback,Echo.Emberback,PackHunter,Diet.Carnivore,Group.Pack.05,3450,1150,690,0.30,0.60,false,true,true
Ecosystem_020_Stonegrazer,Echo.Stonegrazer,SolitaryApex,Diet.Carnivore,Group.Pack.06,3700,1300,780,0.18,0.45,false,false,false
Ecosystem_021_Volthound,Echo.Volthound,PackHunter,Diet.Carnivore,Group.Pack.07,2200,1450,870,0.21,0.50,true,true,true
Ecosystem_022_Cinderclaw,Echo.Cinderclaw,Territorial,Diet.Carnivore,Group.Pack.01,2450,1600,960,0.24,0.55,false,false,false
Ecosystem_023_Umbralon,Echo.Umbralon,PackHunter,Diet.Carnivore,Group.Pack.02,2700,1750,1050,0.27,0.60,false,true,true
Ecosystem_024_Frostfox,Echo.Frostfox,Territorial,Diet.Carnivore,Group.Pack.03,2950,700,600,0.30,0.45,true,false,false
Ecosystem_025_Dreadstalker,Echo.Dreadstalker,SolitaryApex,Diet.Carnivore,Group.Pack.04,3200,850,690,0.18,0.50,false,false,false
Ecosystem_026_Pyrehound,Echo.Pyrehound,Territorial,Diet.Carnivore,Group.Pack.05,3450,1000,780,0.21,0.55,false,false,false
Ecosystem_027_Gladefang,Echo.Gladefang,PackHunter,Diet.Carnivore,Group.Pack.06,3700,1150,870,0.24,0.60,true,true,true
Ecosystem_028_Stormstalker,Echo.Stormstalker,Territorial,Diet.Carnivore,Group.Pack.07,2200,1300,960,0.27,0.45,false,false,false
Ecosystem_029_Bloodjaw,Echo.Bloodjaw,PackHunter,Diet.Carnivore,Group.Pack.01,2450,1450,1050,0.30,0.50,false,true,true
Ecosystem_030_Dunehunter,Echo.Dunehunter,SolitaryApex,Diet.Carnivore,Group.Pack.02,2700,1600,600,0.18,0.55,true,false,false
Ecosystem_031_Gloomclaw,Echo.Gloomclaw,PackHunter,Diet.Carnivore,Group.Pack.03,2950,1750,690,0.21,0.60,false,true,true
Ecosystem_032_Frostlynx,Echo.Frostlynx,Territorial,Diet.Carnivore,Group.Pack.04,3200,700,780,0.24,0.45,false,false,false
Ecosystem_033_Obsidianfang,Echo.Obsidianfang,PackHunter,Diet.Carnivore,Group.Pack.05,3450,850,870,0.27,0.50,true,true,true
Ecosystem_034_Tempestwolf,Echo.Tempestwolf,Territorial,Diet.Carnivore,Group.Pack.06,3700,1000,960,0.30,0.55,false,false,false
Ecosystem_035_Cavernstalker,Echo.Cavernstalker,SolitaryApex,Diet.Carnivore,Group.Pack.07,2200,1150,1050,0.18,0.60,false,false,false
Ecosystem_036_Ashprowler,Echo.Ashprowler,Territorial,Diet.Carnivore,Group.Pack.01,2450,1300,600,0.21,0.45,true,false,false
Ecosystem_037_Mirepanther,Echo.Mirepanther,PackHunter,Diet.Carnivore,Group.Pack.02,2700,1450,690,0.24,0.50,false,true,true
Ecosystem_038_Riftjackal,Echo.Riftjackal,Territorial,Diet.Carnivore,Group.Pack.03,2950,1600,780,0.27,0.55,false,false,false
Ecosystem_039_Thornlion,Echo.Thornlion,PackHunter,Diet.Carnivore,Group.Pack.04,3200,1750,870,0.30,0.60,true,true,true
Ecosystem_040_Nightpelt,Echo.Nightpelt,SolitaryApex,Diet.Carnivore,Group.Pack.05,3450,700,960,0.18,0.45,false,false,false
Ecosystem_041_Voltlynx,Echo.Voltlynx,PackHunter,Diet.Carnivore,Group.Pack.06,3700,850,1050,0.21,0.50,false,true,true
Ecosystem_042_Scorchmaul,Echo.Scorchmaul,Territorial,Diet.Carnivore,Group.Pack.07,2200,1000,600,0.24,0.55,true,false,false
Ecosystem_043_Duskhunter,Echo.Duskhunter,PackHunter,Diet.Carnivore,Group.Pack.01,2450,1150,690,0.27,0.60,false,true,true
Ecosystem_044_Boulderfang,Echo.Boulderfang,Territorial,Diet.Carnivore,Group.Pack.02,2700,1300,780,0.30,0.45,false,false,false
Ecosystem_045_Rainstalker,Echo.Rainstalker,SolitaryApex,Diet.Carnivore,Group.Pack.03,2950,1450,870,0.18,0.50,true,false,false
Ecosystem_046_Zephyros,Echo.Zephyros,Curious,Diet.Omnivore,Group.Flock.04,3200,1600,960,0.21,0.55,false,true,true
Ecosystem_047_Voltrix,Echo.Voltrix,Curious,Diet.Omnivore,Group.Flock.05,3450,1750,1050,0.24,0.60,false,true,true
Ecosystem_048_Solarix,Echo.Solarix,NocturnalScavenger,Diet.Omnivore,Group.Flock.06,3700,700,600,0.27,0.45,true,false,false
Ecosystem_049_Cryovex,Echo.Cryovex,Curious,Diet.Omnivore,Group.Flock.01,2200,850,690,0.30,0.50,false,true,true
Ecosystem_050_Aquaphoenix,Echo.Aquaphoenix,Curious,Diet.Omnivore,Group.Flock.02,2450,1000,780,0.18,0.55,false,true,false
Ecosystem_051_Shadowcrow,Echo.Shadowcrow,Curious,Diet.Omnivore,Group.Flock.03,2700,1150,870,0.21,0.60,true,true,true
Ecosystem_052_Dreadfalcon,Echo.Dreadfalcon,NocturnalScavenger,Diet.Omnivore,Group.Flock.04,2950,1300,960,0.24,0.45,false,false,false
Ecosystem_053_Stormswallow,Echo.Stormswallow,Curious,Diet.Omnivore,Group.Flock.05,3200,1450,1050,0.27,0.50,false,true,true
Ecosystem_054_Magmapen,Echo.Magmapen,Curious,Diet.Omnivore,Group.Flock.06,3450,1600,600,0.30,0.55,true,true,true
Ecosystem_055_Galeclaw,Echo.Galeclaw,Curious,Diet.Omnivore,Group.Flock.01,3700,1750,690,0.18,0.60,false,true,false
Ecosystem_056_Tempestbird,Echo.Tempestbird,NocturnalScavenger,Diet.Omnivore,Group.Flock.02,2200,700,780,0.21,0.45,false,false,false
Ecosystem_057_Mistgryphon,Echo.Mistgryphon,Curious,Diet.Omnivore,Group.Flock.03,2450,850,870,0.24,0.50,true,true,true
Ecosystem_058_Suncondor,Echo.Suncondor,Curious,Diet.Omnivore,Group.Flock.04,2700,1000,960,0.27,0.55,false,true,true
Ecosystem_059_Nightowl,Echo.Nightowl,Curious,Diet.Omnivore,Group.Flock.05,2950,1150,1050,0.30,0.60,false,true,true
Ecosystem_060_Cloudray,Echo.Cloudray,NocturnalScavenger,Diet.Omnivore,Group.Flock.06,3200,1300,600,0.18,0.45,true,false,false
Ecosystem_061_Emberkite,Echo.Emberkite,Curious,Diet.Omnivore,Group.Flock.01,3450,1450,690,0.21,0.50,false,true,true
Ecosystem_062_Frostwing,Echo.Frostwing,Curious,Diet.Omnivore,Group.Flock.02,3700,1600,780,0.24,0.55,false,true,true
Ecosystem_063_Razorcrest,Echo.Razorcrest,Curious,Diet.Omnivore,Group.Flock.03,2200,1750,870,0.27,0.60,true,true,true
Ecosystem_064_Astraheron,Echo.Astraheron,NocturnalScavenger,Diet.Omnivore,Group.Flock.04,2450,700,960,0.30,0.45,false,false,false
Ecosystem_065_Voltwing,Echo.Voltwing,Curious,Diet.Omnivore,Group.Flock.05,2700,850,1050,0.18,0.50,false,true,false
Ecosystem_066_Cinderkite,Echo.Cinderkite,Curious,Diet.Omnivore,Group.Flock.06,2950,1000,600,0.21,0.55,true,true,true
Ecosystem_067_Skydrake,Echo.Skydrake,Curious,Diet.Omnivore,Group.Flock.01,3200,1150,690,0.24,0.60,false,true,true
Ecosystem_068_Moonsoar,Echo.Moonsoar,NocturnalScavenger,Diet.Omnivore,Group.Flock.02,3450,1300,780,0.27,0.45,false,false,false
Ecosystem_069_Galegryph,Echo.Galegryph,Curious,Diet.Omnivore,Group.Flock.03,3700,1450,870,0.30,0.50,true,true,true
Ecosystem_070_Dawnroc,Echo.Dawnroc,Curious,Diet.Omnivore,Group.Flock.04,2200,1600,960,0.18,0.55,false,true,false
Ecosystem_071_Leviathan,Echo.Leviathan,Docile,Diet.Herbivore,Group.Herd.07,2450,1750,1050,0.21,0.60,false,true,true
Ecosystem_072_Aquavine,Echo.Aquavine,Curious,Diet.Omnivore,Group.Herd.08,2700,700,600,0.24,0.45,true,true,true
Ecosystem_073_Torrentail,Echo.Torrentail,Docile,Diet.Herbivore,Group.Herd.01,2950,850,690,0.27,0.50,false,true,true
Ecosystem_074_Depthmaw,Echo.Depthmaw,Docile,Diet.Omnivore,Group.Herd.02,3200,1000,780,0.30,0.55,false,true,true
Ecosystem_075_Frostfin,Echo.Frostfin,Curious,Diet.Herbivore,Group.Herd.03,3450,1150,870,0.18,0.60,true,true,false
Ecosystem_076_Shockeel,Echo.Shockeel,Docile,Diet.Omnivore,Group.Herd.04,3700,1300,960,0.21,0.45,false,true,true
Ecosystem_077_Mudcroc,Echo.Mudcroc,Docile,Diet.Herbivore,Group.Herd.05,2200,1450,1050,0.24,0.50,false,true,true
Ecosystem_078_Coralclad,Echo.Coralclad,Curious,Diet.Omnivore,Group.Herd.06,2450,1600,600,0.27,0.55,true,true,true
Ecosystem_079_Toxictoad,Echo.Toxictoad,Docile,Diet.Herbivore,Group.Herd.07,2700,1750,690,0.30,0.60,false,true,true
Ecosystem_080_Geyserspout,Echo.Geyserspout,Docile,Diet.Omnivore,Group.Herd.08,2950,700,780,0.18,0.45,false,true,false
Ecosystem_081_Abyssalray,Echo.Abyssalray,Curious,Diet.Herbivore,Group.Herd.01,3200,850,870,0.21,0.50,true,true,true
Ecosystem_082_Riverotter,Echo.Riverotter,Docile,Diet.Omnivore,Group.Herd.02,3450,1000,960,0.24,0.55,false,true,true
Ecosystem_083_Tsunamishark,Echo.Tsunamishark,Docile,Diet.Herbivore,Group.Herd.03,3700,1150,1050,0.27,0.60,false,true,true
Ecosystem_084_Sporefrog,Echo.Sporefrog,Curious,Diet.Omnivore,Group.Herd.04,2200,1300,600,0.30,0.45,true,true,true
Ecosystem_085_Glaciertoad,Echo.Glaciertoad,Docile,Diet.Herbivore,Group.Herd.05,2450,1450,690,0.18,0.50,false,true,false
Ecosystem_086_Reefstalker,Echo.Reefstalker,Docile,Diet.Omnivore,Group.Herd.06,2700,1600,780,0.21,0.55,false,true,true
Ecosystem_087_Brineback,Echo.Brineback,Curious,Diet.Herbivore,Group.Herd.07,2950,1750,870,0.24,0.60,true,true,true
Ecosystem_088_Kelpdrifter,Echo.Kelpdrifter,Docile,Diet.Omnivore,Group.Herd.08,3200,700,960,0.27,0.45,false,true,true
Ecosystem_089_Miregator,Echo.Miregator,Docile,Diet.Herbivore,Group.Herd.01,3450,850,1050,0.30,0.50,false,true,true
Ecosystem_090_Tidecrawler,Echo.Tidecrawler,Curious,Diet.Omnivore,Group.Herd.02,3700,1000,600,0.18,0.55,true,true,false
Ecosystem_091_Siltwhale,Echo.Siltwhale,Docile,Diet.Herbivore,Group.Herd.03,2200,1150,690,0.21,0.60,false,true,true
Ecosystem_092_Moonjelly,Echo.Moonjelly,Docile,Diet.Omnivore,Group.Herd.04,2450,1300,780,0.24,0.45,false,true,true
Ecosystem_093_Stormray,Echo.Stormray,Curious,Diet.Herbivore,Group.Herd.05,2700,1450,870,0.27,0.50,true,true,true
Ecosystem_094_Pearlmaw,Echo.Pearlmaw,Docile,Diet.Omnivore,Group.Herd.06,2950,1600,960,0.30,0.55,false,true,true
Ecosystem_095_Dewrunner,Echo.Dewrunner,Docile,Diet.Herbivore,Group.Herd.07,3200,1750,1050,0.18,0.60,false,true,false
Ecosystem_096_Dreadmantis,Echo.Dreadmantis,Curious,Diet.Omnivore,Group.Herd.08,3450,700,600,0.21,0.45,true,true,true
Ecosystem_097_Sparkwasp,Echo.Sparkwasp,Docile,Diet.Herbivore,Group.Herd.01,3700,850,690,0.24,0.50,false,true,true
Ecosystem_098_Terrascarab,Echo.Terrascarab,Docile,Diet.Omnivore,Group.Herd.02,2200,1000,780,0.27,0.55,false,true,true
Ecosystem_099_Cinderant,Echo.Cinderant,Curious,Diet.Herbivore,Group.Herd.03,2450,1150,870,0.30,0.60,true,true,true
Ecosystem_100_Frostmoth,Echo.Frostmoth,Docile,Diet.Omnivore,Group.Herd.04,2700,1300,960,0.18,0.45,false,true,false
Ecosystem_101_Venomweaver,Echo.Venomweaver,Docile,Diet.Herbivore,Group.Herd.05,2950,1450,1050,0.21,0.50,false,true,true
Ecosystem_102_Lumifly,Echo.Lumifly,Curious,Diet.Omnivore,Group.Herd.06,3200,1600,600,0.24,0.55,true,true,true
Ecosystem_103_Armorscorp,Echo.Armorscorp,Docile,Diet.Herbivore,Group.Herd.07,3450,1750,690,0.27,0.60,false,true,true
Ecosystem_104_Chlorophyte,Echo.Chlorophyte,Docile,Diet.Omnivore,Group.Herd.08,3700,700,780,0.30,0.45,false,true,true
Ecosystem_105_Dynastoceros,Echo.Dynastoceros,Curious,Diet.Herbivore,Group.Herd.01,2200,850,870,0.18,0.50,true,true,false
Ecosystem_106_Sporeweevil,Echo.Sporeweevil,Docile,Diet.Omnivore,Group.Herd.02,2450,1000,960,0.21,0.55,false,true,true
Ecosystem_107_Dunecrawler,Echo.Dunecrawler,Docile,Diet.Herbivore,Group.Herd.03,2700,1150,1050,0.24,0.60,false,true,true
Ecosystem_108_Magmacaterpillar,Echo.Magmacaterpillar,Curious,Diet.Omnivore,Group.Herd.04,2950,1300,600,0.27,0.45,true,true,true
Ecosystem_109_Abyssalsentinel,Echo.Abyssalsentinel,Docile,Diet.Herbivore,Group.Herd.05,3200,1450,690,0.30,0.50,false,true,true
Ecosystem_110_Razorbeetle,Echo.Razorbeetle,Docile,Diet.Omnivore,Group.Herd.06,3450,1600,780,0.18,0.55,false,true,false
Ecosystem_111_Miretick,Echo.Miretick,Curious,Diet.Herbivore,Group.Herd.07,3700,1750,870,0.21,0.60,true,true,true
Ecosystem_112_Crystalcicada,Echo.Crystalcicada,Docile,Diet.Omnivore,Group.Herd.08,2200,700,960,0.24,0.45,false,true,true
Ecosystem_113_Emberhornet,Echo.Emberhornet,Docile,Diet.Herbivore,Group.Herd.01,2450,850,1050,0.27,0.50,false,true,true
Ecosystem_114_Glacialgrub,Echo.Glacialgrub,Curious,Diet.Omnivore,Group.Herd.02,2700,1000,600,0.30,0.55,true,true,true
Ecosystem_115_Voltbeetle,Echo.Voltbeetle,Docile,Diet.Herbivore,Group.Herd.03,2950,1150,690,0.18,0.60,false,true,false
Ecosystem_116_Rootweevil,Echo.Rootweevil,Docile,Diet.Omnivore,Group.Herd.04,3200,1300,780,0.21,0.45,false,true,true
Ecosystem_117_Ashsilkworm,Echo.Ashsilkworm,Curious,Diet.Herbivore,Group.Herd.05,3450,1450,870,0.24,0.50,true,true,true
Ecosystem_118_Gloomhopper,Echo.Gloomhopper,Docile,Diet.Omnivore,Group.Herd.06,3700,1600,960,0.27,0.55,false,true,true
Ecosystem_119_Ironmantid,Echo.Ironmantid,Docile,Diet.Herbivore,Group.Herd.07,2200,1750,1050,0.30,0.60,false,true,true
Ecosystem_120_Astrapupa,Echo.Astrapupa,Curious,Diet.Omnivore,Group.Herd.08,2450,700,600,0.18,0.45,true,true,false
Ecosystem_121_Lambit,Echo.Lambit,Docile,Diet.Herbivore,Group.Herd.01,2700,850,690,0.21,0.50,false,true,true
Ecosystem_122_MischiefCat,Echo.MischiefCat,Docile,Diet.Omnivore,Group.Herd.02,2950,1000,780,0.24,0.55,false,true,true
Ecosystem_123_Sporecap,Echo.Sporecap,Curious,Diet.Herbivore,Group.Herd.03,3200,1150,870,0.27,0.60,true,true,true
Ecosystem_124_Florafox,Echo.Florafox,Docile,Diet.Omnivore,Group.Herd.04,3450,1300,960,0.30,0.45,false,true,true
Ecosystem_125_Treantling,Echo.Treantling,Docile,Diet.Herbivore,Group.Herd.05,3700,1450,1050,0.18,0.50,false,true,false
Ecosystem_126_Bloomdeer,Echo.Bloomdeer,Curious,Diet.Omnivore,Group.Herd.06,2200,1600,600,0.21,0.55,true,true,true
Ecosystem_127_Cactusbrawler,Echo.Cactusbrawler,Docile,Diet.Herbivore,Group.Herd.07,2450,1750,690,0.24,0.60,false,true,true
Ecosystem_128_Bramblewolf,Echo.Bramblewolf,Docile,Diet.Omnivore,Group.Herd.08,2700,700,780,0.27,0.45,false,true,true
Ecosystem_129_Shroombeast,Echo.Shroombeast,Curious,Diet.Herbivore,Group.Herd.01,2950,850,870,0.30,0.50,true,true,true
Ecosystem_130_Sunpetal,Echo.Sunpetal,Docile,Diet.Omnivore,Group.Herd.02,3200,1000,960,0.18,0.55,false,true,false
Ecosystem_131_Groveranger,Echo.Groveranger,Docile,Diet.Herbivore,Group.Herd.03,3450,1150,1050,0.21,0.60,false,true,true
Ecosystem_132_Rootgolem,Echo.Rootgolem,Curious,Diet.Omnivore,Group.Herd.04,3700,1300,600,0.24,0.45,true,true,true
Ecosystem_133_Sproutling,Echo.Sproutling,Docile,Diet.Herbivore,Group.Herd.05,2200,1450,690,0.27,0.50,false,true,true
Ecosystem_134_Thornhare,Echo.Thornhare,Docile,Diet.Omnivore,Group.Herd.06,2450,1600,780,0.30,0.55,false,true,true
Ecosystem_135_Mossmender,Echo.Mossmender,Curious,Diet.Herbivore,Group.Herd.07,2700,1750,870,0.18,0.60,true,true,false
Ecosystem_136_Funglow,Echo.Funglow,Docile,Diet.Omnivore,Group.Herd.08,2950,700,960,0.21,0.45,false,true,true
Ecosystem_137_Vinewarden,Echo.Vinewarden,Docile,Diet.Herbivore,Group.Herd.01,3200,850,1050,0.24,0.50,false,true,true
Ecosystem_138_Petalimp,Echo.Petalimp,Curious,Diet.Omnivore,Group.Herd.02,3450,1000,600,0.27,0.55,true,true,true
Ecosystem_139_Barksprite,Echo.Barksprite,Docile,Diet.Herbivore,Group.Herd.03,3700,1150,690,0.30,0.60,false,true,true
Ecosystem_140_Dawnshroom,Echo.Dawnshroom,Docile,Diet.Omnivore,Group.Herd.04,2200,1300,780,0.18,0.45,false,true,false
Ecosystem_141_GeoTitan,Echo.GeoTitan,Curious,Diet.Herbivore,Group.Herd.05,2450,1450,870,0.21,0.50,true,true,true
Ecosystem_142_Electromon,Echo.Electromon,Docile,Diet.Omnivore,Group.Herd.06,2700,1600,960,0.24,0.55,false,true,true
Ecosystem_143_Voidcaller,Echo.Voidcaller,Docile,Diet.Herbivore,Group.Herd.07,2950,1750,1050,0.27,0.60,false,true,true
Ecosystem_144_ClockworkHound,Echo.ClockworkHound,Curious,Diet.Omnivore,Group.Herd.08,3200,700,600,0.30,0.45,true,true,true
Ecosystem_145_AstraSentinel,Echo.AstraSentinel,Docile,Diet.Herbivore,Group.Herd.01,3450,850,690,0.18,0.50,false,true,false
Ecosystem_146_ForgeGolem,Echo.ForgeGolem,Docile,Diet.Omnivore,Group.Herd.02,3700,1000,780,0.21,0.55,false,true,true
Ecosystem_147_FrostAutomaton,Echo.FrostAutomaton,Curious,Diet.Herbivore,Group.Herd.03,2200,1150,870,0.24,0.60,true,true,true
Ecosystem_148_RuinCrusher,Echo.RuinCrusher,Docile,Diet.Omnivore,Group.Herd.04,2450,1300,960,0.27,0.45,false,true,true
Ecosystem_149_TeslaWard,Echo.TeslaWard,Docile,Diet.Herbivore,Group.Herd.05,2700,1450,1050,0.30,0.50,false,true,true
Ecosystem_150_ChronoScout,Echo.ChronoScout,Curious,Diet.Omnivore,Group.Herd.06,2950,1600,600,0.18,0.55,true,true,false
Ecosystem_151_ObsidianOracle,Echo.ObsidianOracle,Docile,Diet.Herbivore,Group.Herd.07,3200,1750,690,0.21,0.60,false,true,true
Ecosystem_152_Magnetarch,Echo.Magnetarch,Docile,Diet.Omnivore,Group.Herd.08,3450,700,780,0.24,0.45,false,true,true
Ecosystem_153_Sunforged,Echo.Sunforged,Curious,Diet.Herbivore,Group.Herd.01,3700,850,870,0.27,0.50,true,true,true
Ecosystem_154_Cryovault,Echo.Cryovault,Docile,Diet.Omnivore,Group.Herd.02,2200,1000,960,0.30,0.55,false,true,true
Ecosystem_155_RiftEngine,Echo.RiftEngine,Docile,Diet.Herbivore,Group.Herd.03,2450,1150,1050,0.18,0.60,false,true,false
Ecosystem_156_StoneArchivist,Echo.StoneArchivist,Curious,Diet.Omnivore,Group.Herd.04,2700,1300,600,0.21,0.45,true,true,true
Ecosystem_157_DawnGearling,Echo.DawnGearling,Docile,Diet.Herbivore,Group.Herd.05,2950,1450,690,0.24,0.50,false,true,true
Ecosystem_158_VoltMonolith,Echo.VoltMonolith,Docile,Diet.Omnivore,Group.Herd.06,3200,1600,780,0.27,0.55,false,true,true
Ecosystem_159_AetherClock,Echo.AetherClock,Curious,Diet.Herbivore,Group.Herd.07,3450,1750,870,0.30,0.60,true,true,true
Ecosystem_160_LumenColossus,Echo.LumenColossus,Docile,Diet.Omnivore,Group.Herd.08,3700,700,960,0.18,0.45,false,true,false
Ecosystem_161_Basilisk,Echo.Basilisk,PackHunter,Diet.Carnivore,Group.Pack.07,2200,850,1050,0.21,0.50,false,true,true
Ecosystem_162_MagmaDrake,Echo.MagmaDrake,Territorial,Diet.Carnivore,Group.Pack.01,2450,1000,600,0.24,0.55,true,false,false
Ecosystem_163_Hydra,Echo.Hydra,PackHunter,Diet.Carnivore,Group.Pack.02,2700,1150,690,0.27,0.60,false,true,true
Ecosystem_164_ThunderScale,Echo.ThunderScale,Territorial,Diet.Carnivore,Group.Pack.03,2950,1300,780,0.30,0.45,false,false,false
Ecosystem_165_GlacialSerpent,Echo.GlacialSerpent,SolitaryApex,Diet.Carnivore,Group.Pack.04,3200,1450,870,0.18,0.50,true,false,false
Ecosystem_166_SandWyrm,Echo.SandWyrm,Territorial,Diet.Carnivore,Group.Pack.05,3450,1600,960,0.21,0.55,false,false,false
Ecosystem_167_VenomGila,Echo.VenomGila,PackHunter,Diet.Carnivore,Group.Pack.06,3700,1750,1050,0.24,0.60,false,true,true
Ecosystem_168_SolarChameleon,Echo.SolarChameleon,Territorial,Diet.Carnivore,Group.Pack.07,2200,700,600,0.27,0.45,true,false,false
Ecosystem_169_AbyssalHydra,Echo.AbyssalHydra,PackHunter,Diet.Carnivore,Group.Pack.01,2450,850,690,0.30,0.50,false,true,true
Ecosystem_170_SpineDrake,Echo.SpineDrake,SolitaryApex,Diet.Carnivore,Group.Pack.02,2700,1000,780,0.18,0.55,false,false,false
Ecosystem_171_ObsidianCobra,Echo.ObsidianCobra,PackHunter,Diet.Carnivore,Group.Pack.03,2950,1150,870,0.21,0.60,true,true,true
Ecosystem_172_FrostBasilisk,Echo.FrostBasilisk,Territorial,Diet.Carnivore,Group.Pack.04,3200,1300,960,0.24,0.45,false,false,false
Ecosystem_173_VoltRaptor,Echo.VoltRaptor,PackHunter,Diet.Carnivore,Group.Pack.05,3450,1450,1050,0.27,0.50,false,true,true
Ecosystem_174_CanyonDrake,Echo.CanyonDrake,Territorial,Diet.Carnivore,Group.Pack.06,3700,1600,600,0.30,0.55,true,false,false
Ecosystem_175_MireHydra,Echo.MireHydra,SolitaryApex,Diet.Carnivore,Group.Pack.07,2200,1750,690,0.18,0.60,false,false,false
Ecosystem_176_AshBasilisk,Echo.AshBasilisk,Territorial,Diet.Carnivore,Group.Pack.01,2450,700,780,0.21,0.45,false,false,false
Ecosystem_177_CrystalViper,Echo.CrystalViper,PackHunter,Diet.Carnivore,Group.Pack.02,2700,850,870,0.24,0.50,true,true,true
Ecosystem_178_StormDrake,Echo.StormDrake,Territorial,Diet.Carnivore,Group.Pack.03,2950,1000,960,0.27,0.55,false,false,false
Ecosystem_179_DawnHydra,Echo.DawnHydra,PackHunter,Diet.Carnivore,Group.Pack.04,3200,1150,1050,0.30,0.60,false,true,true
Ecosystem_180_RuinSerpent,Echo.RuinSerpent,SolitaryApex,Diet.Carnivore,Group.Pack.05,3450,1300,600,0.18,0.45,true,false,false
Ecosystem_181_Steamwyrm,Echo.Steamwyrm,PackHunter,Diet.Carnivore,Group.Pack.06,3700,1450,690,0.21,0.50,false,true,true
Ecosystem_182_Magnetite,Echo.Magnetite,Territorial,Diet.Carnivore,Group.Pack.07,2200,1600,780,0.24,0.55,false,false,false
Ecosystem_183_EclipseFox,Echo.EclipseFox,PackHunter,Diet.Carnivore,Group.Pack.01,2450,1750,870,0.27,0.60,true,true,true
Ecosystem_184_StormRoc,Echo.StormRoc,Territorial,Diet.Carnivore,Group.Pack.02,2700,700,960,0.30,0.45,false,false,false
Ecosystem_185_Volcanodon,Echo.Volcanodon,SolitaryApex,Diet.Carnivore,Group.Pack.03,2950,850,1050,0.18,0.50,false,false,false
Ecosystem_186_FrostThorn,Echo.FrostThorn,Territorial,Diet.Carnivore,Group.Pack.04,3200,1000,600,0.21,0.55,true,false,false
Ecosystem_187_ElectroPlant,Echo.ElectroPlant,PackHunter,Diet.Carnivore,Group.Pack.05,3450,1150,690,0.24,0.60,false,true,true
Ecosystem_188_ShadowPhoenix,Echo.ShadowPhoenix,Territorial,Diet.Carnivore,Group.Pack.06,3700,1300,780,0.27,0.45,false,false,false
