Name,ParentSpeciesA,ParentSpeciesB,OffspringSpeciesTag,OffspringElementalAffinities,GuaranteedInheritedTraitTags,TraitInheritanceChance,HiddenPassiveUnlockChance,FusionGroupTag
Fusion_015,Echo.Terradon,Echo.Rootcolossus,Echo.GlacialGolem,(Geo),"(Trait.Sturdy,Trait.Alert)",0.75,0.10,Fusion.Group.05
Fusion_016,Echo.Terradon,Echo.Quakehorn,Echo.Steamwyrm,(Geo),"(Trait.Sturdy,Trait.Alert)",0.80,0.03,Fusion.Group.06
Fusion_017,Echo.Terradon,Echo.Dawnmammoth,Echo.Magnetite,(Geo),"(Trait.Sturdy,Trait.Alert)",0.85,0.04,Fusion.Group.07
Fusion_018,Echo.Terradon,Echo.Emberback,Echo.EclipseFox,(Geo),"(Trait.Sturdy,Trait.Alert)",0.90,0.05,Fusion.Group.08
Fusion_019,Echo.Terradon,Echo.Stonegrazer,Echo.StormRoc,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.95,0.06,Fusion.Group.09
Fusion_020,Echo.Terradon,Echo.Volthound,Echo.Volcanodon,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.75,0.07,Fusion.Group.10
Fusion_021,Echo.Terradon,Echo.Cinderclaw,Echo.FrostThorn,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.80,0.08,Fusion.Group.01
Fusion_022,Echo.Terradon,Echo.Umbralon,Echo.ElectroPlant,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.85,0.09,Fusion.Group.02
Fusion_023,Echo.Terradon,Echo.Frostfox,Echo.ShadowPhoenix,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.90,0.10,Fusion.Group.03
Fusion_024,Echo.Terradon,Echo.Dreadstalker,Echo.MagmaHydra,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.95,0.03,Fusion.Group.04
Fusion_025,Echo.Terradon,Echo.Pyrehound,Echo.CrystalYeti,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.75,0.04,Fusion.Group.05
Fusion_026,Echo.Terradon,Echo.Gladefang,Echo.PlasmaWolf,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.80,0.05,Fusion.Group.06
Fusion_027,Echo.Terradon,Echo.Stormstalker,Echo.VoidWyrm,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.85,0.06,Fusion.Group.07
Fusion_028,Echo.Terradon,Echo.Bloodjaw,Echo.MudBehemoth,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.90,0.07,Fusion.Group.08
Fusion_029,Echo.Terradon,Echo.Dunehunter,Echo.SolarMantis,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.95,0.08,Fusion.Group.09
Fusion_030,Echo.Terradon,Echo.Gloomclaw,Echo.GlacialGolem,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.75,0.09,Fusion.Group.10
Fusion_031,Echo.Terradon,Echo.Frostlynx,Echo.Steamwyrm,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.80,0.10,Fusion.Group.01
Fusion_032,Echo.Terradon,Echo.Obsidianfang,Echo.Magnetite,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.85,0.03,Fusion.Group.02
Fusion_033,Echo.Terradon,Echo.Tempestwolf,Echo.EclipseFox,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.90,0.04,Fusion.Group.03
Fusion_034,Echo.Terradon,Echo.Cavernstalker,Echo.StormRoc,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.95,0.05,Fusion.Group.04
Fusion_035,Echo.Terradon,Echo.Ashprowler,Echo.Volcanodon,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.75,0.06,Fusion.Group.05
Fusion_036,Echo.Terradon,Echo.Mirepanther,Echo.FrostThorn,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.80,0.07,Fusion.Group.06
Fusion_037,Echo.Terradon,Echo.Riftjackal,Echo.ElectroPlant,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.85,0.08,Fusion.Group.07
Fusion_038,Echo.Terradon,Echo.Thornlion,Echo.ShadowPhoenix,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.90,0.09,Fusion.Group.08
Fusion_039,Echo.Terradon,Echo.Nightpelt,Echo.MagmaHydra,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.95,0.10,Fusion.Group.09
Fusion_040,Echo.Terradon,Echo.Voltlynx,Echo.CrystalYeti,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.75,0.03,Fusion.Group.10
Fusion_041,Echo.Terradon,Echo.Scorchmaul,Echo.PlasmaWolf,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.80,0.04,Fusion.Group.01
Fusion_042,Echo.Terradon,Echo.Duskhunter,Echo.VoidWyrm,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.85,0.05,Fusion.Group.02
Fusion_043,Echo.Terradon,Echo.Boulderfang,Echo.MudBehemoth,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.90,0.06,Fusion.Group.03
Fusion_044,Echo.Terradon,Echo.Rainstalker,Echo.SolarMantis,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.95,0.07,Fusion.Group.04
Fusion_045,Echo.Terradon,Echo.Zephyros,Echo.GlacialGolem,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.75,0.08,Fusion.Group.05
Fusion_046,Echo.Terradon,Echo.Voltrix,Echo.Steamwyrm,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.80,0.09,Fusion.Group.06
Fusion_047,Echo.Terradon,Echo.Solarix,Echo.Magnetite,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.85,0.10,Fusion.Group.07
Fusion_048,Echo.Terradon,Echo.Cryovex,Echo.EclipseFox,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.90,0.03,Fusion.Group.08
Fusion_049,Echo.Terradon,Echo.Aquaphoenix,Echo.StormRoc,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.95,0.04,Fusion.Group.09
Fusion_050,Echo.Terradon,Echo.Shadowcrow,Echo.Volcanodon,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.75,0.05,Fusion.Group.10
Fusion_051,Echo.Terradon,Echo.Dreadfalcon,Echo.FrostThorn,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.80,0.06,Fusion.Group.01
Fusion_052,Echo.Terradon,Echo.Stormswallow,Echo.ElectroPlant,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.85,0.07,Fusion.Group.02
Fusion_053,Echo.Terradon,Echo.Magmapen,Echo.ShadowPhoenix,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.90,0.08,Fusion.Group.03
Fusion_054,Echo.Terradon,Echo.Galeclaw,Echo.MagmaHydra,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.95,0.09,Fusion.Group.04
Fusion_055,Echo.Terradon,Echo.Tempestbird,Echo.CrystalYeti,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.75,0.10,Fusion.Group.05
Fusion_056,Echo.Terradon,Echo.Mistgryphon,Echo.PlasmaWolf,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.80,0.03,Fusion.Group.06
Fusion_057,Echo.Terradon,Echo.Suncondor,Echo.VoidWyrm,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.85,0.04,Fusion.Group.07
Fusion_058,Echo.Terradon,Echo.Nightowl,Echo.MudBehemoth,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.90,0.05,Fusion.Group.08
Fusion_059,Echo.Terradon,Echo.Cloudray,Echo.SolarMantis,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.95,0.06,Fusion.Group.09
Fusion_060,Echo.Terradon,Echo.Emberkite,Echo.GlacialGolem,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.75,0.07,Fusion.Group.10
Fusion_061,Echo.Terradon,Echo.Frostwing,Echo.Steamwyrm,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.80,0.08,Fusion.Group.01
Fusion_062,Echo.Terradon,Echo.Razorcrest,Echo.Magnetite,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.85,0.09,Fusion.Group.02
Fusion_063,Echo.Terradon,Echo.Astraheron,Echo.EclipseFox,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.90,0.10,Fusion.Group.03
Fusion_064,Echo.Terradon,Echo.Voltwing,Echo.StormRoc,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.95,0.03,Fusion.Group.04
Fusion_065,Echo.Terradon,Echo.Cinderkite,Echo.Volcanodon,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.75,0.04,Fusion.Group.05
Fusion_066,Echo.Terradon,Echo.Skydrake,Echo.FrostThorn,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.80,0.05,Fusion.Group.06
Fusion_067,Echo.Terradon,Echo.Moonsoar,Echo.ElectroPlant,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.85,0.06,Fusion.Group.07
Fusion_068,Echo.Terradon,Echo.Galegryph,Echo.ShadowPhoenix,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.90,0.07,Fusion.Group.08
Fusion_069,Echo.Terradon,Echo.Dawnroc,Echo.MagmaHydra,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.95,0.08,Fusion.Group.09
Fusion_070,Echo.Terradon,Echo.Leviathan,Echo.CrystalYeti,"(Geo,Torrent)","(Trait.Sturdy,Trait.Alert)",0.75,0.09,Fusion.Group.10
Fusion_071,Echo.Terradon,Echo.Aquavine,Echo.PlasmaWolf,"(Geo,Torrent)","(Trait.Sturdy,Trait.Alert)",0.80,0.10,Fusion.Group.01
Fusion_072,Echo.Terradon,Echo.Torrentail,Echo.VoidWyrm,"(Geo,Torrent)","(Trait.Sturdy,Trait.Alert)",0.85,0.03,Fusion.Group.02
Fusion_073,Echo.Terradon,Echo.Depthmaw,Echo.MudBehemoth,"(Geo,Torrent)","(Trait.Sturdy,Trait.Alert)",0.90,0.04,Fusion.Group.03
Fusion_074,Echo.Terradon,Echo.Frostfin,Echo.SolarMantis,"(Geo,Torrent)","(Trait.Sturdy,Trait.Alert)",0.95,0.05,Fusion.Group.04
Fusion_075,Echo.Terradon,Echo.Shockeel,Echo.GlacialGolem,"(Geo,Torrent)","(Trait.Sturdy,Trait.Alert)",0.75,0.06,Fusion.Group.05
Fusion_076,Echo.Terradon,Echo.Mudcroc,Echo.Steamwyrm,"(Geo,Torrent)","(Trait.Sturdy,Trait.Alert)",0.80,0.07,Fusion.Group.06
Fusion_077,Echo.Terradon,Echo.Coralclad,Echo.Magnetite,"(Geo,Torrent)","(Trait.Sturdy,Trait.Alert)",0.85,0.08,Fusion.Group.07
Fusion_078,Echo.Terradon,Echo.Toxictoad,Echo.EclipseFox,"(Geo,Torrent)","(Trait.Sturdy,Trait.Alert)",0.90,0.09,Fusion.Group.08
Fusion_079,Echo.Terradon,Echo.Geyserspout,Echo.StormRoc,"(Geo,Torrent)","(Trait.Sturdy,Trait.Alert)",0.95,0.10,Fusion.Group.09
Fusion_080,Echo.Glacisaur,Echo.Ignisaur,Echo.Volcanodon,(Geo),"(Trait.Sturdy,Trait.Alert)",0.75,0.03,Fusion.Group.10
Fusion_081,Echo.Glacisaur,Echo.Titanus,Echo.FrostThorn,(Geo),"(Trait.Sturdy,Trait.Alert)",0.80,0.04,Fusion.Group.01
Fusion_082,Echo.Glacisaur,Echo.Verdantor,Echo.ElectroPlant,"(Geo,Glacial)","(Trait.Sturdy,Trait.Alert)",0.85,0.05,Fusion.Group.02
Fusion_083,Echo.Glacisaur,Echo.Craghorn,Echo.ShadowPhoenix,(Geo),"(Trait.Sturdy,Trait.Alert)",0.90,0.06,Fusion.Group.03
Fusion_084,Echo.Glacisaur,Echo.Thunderhide,Echo.MagmaHydra,(Geo),"(Trait.Sturdy,Trait.Alert)",0.95,0.07,Fusion.Group.04
Fusion_085,Echo.Glacisaur,Echo.Stegocryst,Echo.CrystalYeti,(Geo),"(Trait.Sturdy,Trait.Alert)",0.75,0.08,Fusion.Group.05
Fusion_086,Echo.Glacisaur,Echo.Frostbrunt,Echo.PlasmaWolf,(Geo),"(Trait.Sturdy,Trait.Alert)",0.80,0.09,Fusion.Group.06
Fusion_087,Echo.Glacisaur,Echo.Cinderbeast,Echo.VoidWyrm,"(Geo,Torrent)","(Trait.Sturdy,Trait.Alert)",0.85,0.10,Fusion.Group.07
Fusion_088,Echo.Glacisaur,Echo.Gravegorg,Echo.MudBehemoth,(Geo),"(Trait.Sturdy,Trait.Alert)",0.90,0.03,Fusion.Group.08
Fusion_089,Echo.Glacisaur,Echo.Amberhorn,Echo.SolarMantis,(Geo),"(Trait.Sturdy,Trait.Alert)",0.95,0.04,Fusion.Group.09
Fusion_090,Echo.Glacisaur,Echo.Spirebehemoth,Echo.GlacialGolem,(Geo),"(Trait.Sturdy,Trait.Alert)",0.75,0.05,Fusion.Group.10
Fusion_091,Echo.Glacisaur,Echo.Mossback,Echo.Steamwyrm,(Geo),"(Trait.Sturdy,Trait.Alert)",0.80,0.06,Fusion.Group.01
Fusion_092,Echo.Glacisaur,Echo.Ironhide,Echo.Magnetite,"(Geo,Astra)","(Trait.Sturdy,Trait.Alert)",0.85,0.07,Fusion.Group.02
Fusion_093,Echo.Glacisaur,Echo.Rootcolossus,Echo.EclipseFox,(Geo),"(Trait.Sturdy,Trait.Alert)",0.90,0.08,Fusion.Group.03
Fusion_094,Echo.Glacisaur,Echo.Quakehorn,Echo.StormRoc,(Geo),"(Trait.Sturdy,Trait.Alert)",0.95,0.09,Fusion.Group.04
Fusion_095,Echo.Glacisaur,Echo.Dawnmammoth,Echo.Volcanodon,(Geo),"(Trait.Sturdy,Trait.Alert)",0.75,0.10,Fusion.Group.05
Fusion_096,Echo.Glacisaur,Echo.Emberback,Echo.FrostThorn,(Geo),"(Trait.Sturdy,Trait.Alert)",0.80,0.03,Fusion.Group.06
Fusion_097,Echo.Glacisaur,Echo.Stonegrazer,Echo.ElectroPlant,"(Geo,Volt)","(Trait.Sturdy,Trait.Alert)",0.85,0.04,Fusion.Group.07
Fusion_098,Echo.Glacisaur,Echo.Volthound,Echo.ShadowPhoenix,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.90,0.05,Fusion.Group.08
Fusion_099,Echo.Glacisaur,Echo.Cinderclaw,Echo.MagmaHydra,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.95,0.06,Fusion.Group.09
Fusion_100,Echo.Glacisaur,Echo.Umbralon,Echo.CrystalYeti,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.75,0.07,Fusion.Group.10
Fusion_101,Echo.Glacisaur,Echo.Frostfox,Echo.PlasmaWolf,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.80,0.08,Fusion.Group.01
Fusion_102,Echo.Glacisaur,Echo.Dreadstalker,Echo.VoidWyrm,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.85,0.09,Fusion.Group.02
Fusion_103,Echo.Glacisaur,Echo.Pyrehound,Echo.MudBehemoth,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.90,0.10,Fusion.Group.03
Fusion_104,Echo.Glacisaur,Echo.Gladefang,Echo.SolarMantis,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.95,0.03,Fusion.Group.04
Fusion_105,Echo.Glacisaur,Echo.Stormstalker,Echo.GlacialGolem,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.75,0.04,Fusion.Group.05
Fusion_106,Echo.Glacisaur,Echo.Bloodjaw,Echo.Steamwyrm,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.80,0.05,Fusion.Group.06
Fusion_107,Echo.Glacisaur,Echo.Dunehunter,Echo.Magnetite,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.85,0.06,Fusion.Group.07
Fusion_108,Echo.Glacisaur,Echo.Gloomclaw,Echo.EclipseFox,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.90,0.07,Fusion.Group.08
Fusion_109,Echo.Glacisaur,Echo.Frostlynx,Echo.StormRoc,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.95,0.08,Fusion.Group.09
Fusion_110,Echo.Glacisaur,Echo.Obsidianfang,Echo.Volcanodon,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.75,0.09,Fusion.Group.10
Fusion_111,Echo.Glacisaur,Echo.Tempestwolf,Echo.FrostThorn,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.80,0.10,Fusion.Group.01
Fusion_112,Echo.Glacisaur,Echo.Cavernstalker,Echo.ElectroPlant,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.85,0.03,Fusion.Group.02
Fusion_113,Echo.Glacisaur,Echo.Ashprowler,Echo.ShadowPhoenix,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.90,0.04,Fusion.Group.03
Fusion_114,Echo.Glacisaur,Echo.Mirepanther,Echo.MagmaHydra,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.95,0.05,Fusion.Group.04
Fusion_115,Echo.Glacisaur,Echo.Riftjackal,Echo.CrystalYeti,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.75,0.06,Fusion.Group.05
Fusion_116,Echo.Glacisaur,Echo.Thornlion,Echo.PlasmaWolf,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.80,0.07,Fusion.Group.06
Fusion_117,Echo.Glacisaur,Echo.Nightpelt,Echo.VoidWyrm,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.85,0.08,Fusion.Group.07
Fusion_118,Echo.Glacisaur,Echo.Voltlynx,Echo.MudBehemoth,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.90,0.09,Fusion.Group.08
Fusion_119,Echo.Glacisaur,Echo.Scorchmaul,Echo.SolarMantis,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.95,0.10,Fusion.Group.09
Fusion_120,Echo.Glacisaur,Echo.Duskhunter,Echo.GlacialGolem,"(Geo,Abyssal)","(Trait.Sturdy,Trait.Alert)",0.75,0.03,Fusion.Group.10
