ID,Name,Body Plan,Size,Element,Mesh Path,Material Path
12,Echo_Quadruped_Large_Pulse_012,Quadruped,1.5,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Quadruped_Large.SK_Echo_Quadruped_Large,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Quadruped_Large_Pulse_012.MI_Echo_Echo_Quadruped_Large_Pulse_012
13,Echo_Quadruped_Huge_Ember_013,Quadruped,2.5,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Quadruped_Huge.SK_Echo_Quadruped_Huge,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Quadruped_Huge_Ember_013.MI_Echo_Echo_Quadruped_Huge_Ember_013
14,Echo_Quadruped_Huge_Frost_014,Quadruped,2.5,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Quadruped_Huge.SK_Echo_Quadruped_Huge,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Quadruped_Huge_Frost_014.MI_Echo_Echo_Quadruped_Huge_Frost_014
15,Echo_Quadruped_Huge_Pulse_015,Quadruped,2.5,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Quadruped_Huge.SK_Echo_Quadruped_Huge,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Quadruped_Huge_Pulse_015.MI_Echo_Echo_Quadruped_Huge_Pulse_015
16,Echo_Biped_Tiny_Ember_016,Biped,0.3,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Biped_Tiny.SK_Echo_Biped_Tiny,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Biped_Tiny_Ember_016.MI_Echo_Echo_Biped_Tiny_Ember_016
17,Echo_Biped_Tiny_Frost_017,Biped,0.3,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Biped_Tiny.SK_Echo_Biped_Tiny,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Biped_Tiny_Frost_017.MI_Echo_Echo_Biped_Tiny_Frost_017
18,Echo_Biped_Tiny_Pulse_018,Biped,0.3,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Biped_Tiny.SK_Echo_Biped_Tiny,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Biped_Tiny_Pulse_018.MI_Echo_Echo_Biped_Tiny_Pulse_018
19,Echo_Biped_Small_Ember_019,Biped,0.6,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Biped_Small.SK_Echo_Biped_Small,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Biped_Small_Ember_019.MI_Echo_Echo_Biped_Small_Ember_019
20,Echo_Biped_Small_Frost_020,Biped,0.6,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Biped_Small.SK_Echo_Biped_Small,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Biped_Small_Frost_020.MI_Echo_Echo_Biped_Small_Frost_020
21,Echo_Biped_Small_Pulse_021,Biped,0.6,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Biped_Small.SK_Echo_Biped_Small,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Biped_Small_Pulse_021.MI_Echo_Echo_Biped_Small_Pulse_021
22,Echo_Biped_Medium_Ember_022,Biped,1.0,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Biped_Medium.SK_Echo_Biped_Medium,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Biped_Medium_Ember_022.MI_Echo_Echo_Biped_Medium_Ember_022
23,Echo_Biped_Medium_Frost_023,Biped,1.0,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Biped_Medium.SK_Echo_Biped_Medium,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Biped_Medium_Frost_023.MI_Echo_Echo_Biped_Medium_Frost_023
24,Echo_Biped_Medium_Pulse_024,Biped,1.0,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Biped_Medium.SK_Echo_Biped_Medium,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Biped_Medium_Pulse_024.MI_Echo_Echo_Biped_Medium_Pulse_024
25,Echo_Biped_Large_Ember_025,Biped,1.5,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Biped_Large.SK_Echo_Biped_Large,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Biped_Large_Ember_025.MI_Echo_Echo_Biped_Large_Ember_025
26,Echo_Biped_Large_Frost_026,Biped,1.5,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Biped_Large.SK_Echo_Biped_Large,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Biped_Large_Frost_026.MI_Echo_Echo_Biped_Large_Frost_026
27,Echo_Biped_Large_Pulse_027,Biped,1.5,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Biped_Large.SK_Echo_Biped_Large,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Biped_Large_Pulse_027.MI_Echo_Echo_Biped_Large_Pulse_027
28,Echo_Biped_Huge_Ember_028,Biped,2.5,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Biped_Huge.SK_Echo_Biped_Huge,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Biped_Huge_Ember_028.MI_Echo_Echo_Biped_Huge_Ember_028
29,Echo_Biped_Huge_Frost_029,Biped,2.5,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Biped_Huge.SK_Echo_Biped_Huge,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Biped_Huge_Frost_029.MI_Echo_Echo_Biped_Huge_Frost_029
30,Echo_Biped_Huge_Pulse_030,Biped,2.5,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Biped_Huge.SK_Echo_Biped_Huge,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Biped_Huge_Pulse_030.MI_Echo_Echo_Biped_Huge_Pulse_030
31,Echo_Serpent_Tiny_Ember_031,Serpent,0.3,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Serpent_Tiny.SK_Echo_Serpent_Tiny,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Serpent_Tiny_Ember_031.MI_Echo_Echo_Serpent_Tiny_Ember_031
32,Echo_Serpent_Tiny_Frost_032,Serpent,0.3,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Serpent_Tiny.SK_Echo_Serpent_Tiny,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Serpent_Tiny_Frost_032.MI_Echo_Echo_Serpent_Tiny_Frost_032
33,Echo_Serpent_Tiny_Pulse_033,Serpent,0.3,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Serpent_Tiny.SK_Echo_Serpent_Tiny,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Serpent_Tiny_Pulse_033.MI_Echo_Echo_Serpent_Tiny_Pulse_033
34,Echo_Serpent_Small_Ember_034,Serpent,0.6,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Serpent_Small.SK_Echo_Serpent_Small,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Serpent_Small_Ember_034.MI_Echo_Echo_Serpent_Small_Ember_034
35,Echo_Serpent_Small_Frost_035,Serpent,0.6,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Serpent_Small.SK_Echo_Serpent_Small,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Serpent_Small_Frost_035.MI_Echo_Echo_Serpent_Small_Frost_035
36,Echo_Serpent_Small_Pulse_036,Serpent,0.6,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Serpent_Small.SK_Echo_Serpent_Small,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Serpent_Small_Pulse_036.MI_Echo_Echo_Serpent_Small_Pulse_036
37,Echo_Serpent_Medium_Ember_037,Serpent,1.0,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Serpent_Medium.SK_Echo_Serpent_Medium,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Serpent_Medium_Ember_037.MI_Echo_Echo_Serpent_Medium_Ember_037
38,Echo_Serpent_Medium_Frost_038,Serpent,1.0,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Serpent_Medium.SK_Echo_Serpent_Medium,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Serpent_Medium_Frost_038.MI_Echo_Echo_Serpent_Medium_Frost_038
39,Echo_Serpent_Medium_Pulse_039,Serpent,1.0,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Serpent_Medium.SK_Echo_Serpent_Medium,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Serpent_Medium_Pulse_039.MI_Echo_Echo_Serpent_Medium_Pulse_039
40,Echo_Serpent_Large_Ember_040,Serpent,1.5,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Serpent_Large.SK_Echo_Serpent_Large,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Serpent_Large_Ember_040.MI_Echo_Echo_Serpent_Large_Ember_040
41,Echo_Serpent_Large_Frost_041,Serpent,1.5,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Serpent_Large.SK_Echo_Serpent_Large,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Serpent_Large_Frost_041.MI_Echo_Echo_Serpent_Large_Frost_041
42,Echo_Serpent_Large_Pulse_042,Serpent,1.5,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Serpent_Large.SK_Echo_Serpent_Large,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Serpent_Large_Pulse_042.MI_Echo_Echo_Serpent_Large_Pulse_042
43,Echo_Serpent_Huge_Ember_043,Serpent,2.5,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Serpent_Huge.SK_Echo_Serpent_Huge,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Serpent_Huge_Ember_043.MI_Echo_Echo_Serpent_Huge_Ember_043
44,Echo_Serpent_Huge_Frost_044,Serpent,2.5,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Serpent_Huge.SK_Echo_Serpent_Huge,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Serpent_Huge_Frost_044.MI_Echo_Echo_Serpent_Huge_Frost_044
45,Echo_Serpent_Huge_Pulse_045,Serpent,2.5,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Serpent_Huge.SK_Echo_Serpent_Huge,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Serpent_Huge_Pulse_045.MI_Echo_Echo_Serpent_Huge_Pulse_045
46,Echo_Floating_Tiny_Ember_046,Floating,0.3,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Floating_Tiny.SK_Echo_Floating_Tiny,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Floating_Tiny_Ember_046.MI_Echo_Echo_Floating_Tiny_Ember_046
47,Echo_Floating_Tiny_Frost_047,Floating,0.3,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Floating_Tiny.SK_Echo_Floating_Tiny,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Floating_Tiny_Frost_047.MI_Echo_Echo_Floating_Tiny_Frost_047
48,Echo_Floating_Tiny_Pulse_048,Floating,0.3,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Floating_Tiny.SK_Echo_Floating_Tiny,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Floating_Tiny_Pulse_048.MI_Echo_Echo_Floating_Tiny_Pulse_048
49,Echo_Floating_Small_Ember_049,Floating,0.6,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Floating_Small.SK_Echo_Floating_Small,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Floating_Small_Ember_049.MI_Echo_Echo_Floating_Small_Ember_049
50,Echo_Floating_Small_Frost_050,Floating,0.6,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Floating_Small.SK_Echo_Floating_Small,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Floating_Small_Frost_050.MI_Echo_Echo_Floating_Small_Frost_050
51,Echo_Floating_Small_Pulse_051,Floating,0.6,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Floating_Small.SK_Echo_Floating_Small,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Floating_Small_Pulse_051.MI_Echo_Echo_Floating_Small_Pulse_051
52,Echo_Floating_Medium_Ember_052,Floating,1.0,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Floating_Medium.SK_Echo_Floating_Medium,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Floating_Medium_Ember_052.MI_Echo_Echo_Floating_Medium_Ember_052
53,Echo_Floating_Medium_Frost_053,Floating,1.0,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Floating_Medium.SK_Echo_Floating_Medium,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Floating_Medium_Frost_053.MI_Echo_Echo_Floating_Medium_Frost_053
54,Echo_Floating_Medium_Pulse_054,Floating,1.0,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Floating_Medium.SK_Echo_Floating_Medium,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Floating_Medium_Pulse_054.MI_Echo_Echo_Floating_Medium_Pulse_054
55,Echo_Floating_Large_Ember_055,Floating,1.5,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Floating_Large.SK_Echo_Floating_Large,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Floating_Large_Ember_055.MI_Echo_Echo_Floating_Large_Ember_055
56,Echo_Floating_Large_Frost_056,Floating,1.5,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Floating_Large.SK_Echo_Floating_Large,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Floating_Large_Frost_056.MI_Echo_Echo_Floating_Large_Frost_056
57,Echo_Floating_Large_Pulse_057,Floating,1.5,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Floating_Large.SK_Echo_Floating_Large,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Floating_Large_Pulse_057.MI_Echo_Echo_Floating_Large_Pulse_057
58,Echo_Floating_Huge_Ember_058,Floating,2.5,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Floating_Huge.SK_Echo_Floating_Huge,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Floating_Huge_Ember_058.MI_Echo_Echo_Floating_Huge_Ember_058
59,Echo_Floating_Huge_Frost_059,Floating,2.5,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Floating_Huge.SK_Echo_Floating_Huge,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Floating_Huge_Frost_059.MI_Echo_Echo_Floating_Huge_Frost_059
60,Echo_Floating_Huge_Pulse_060,Floating,2.5,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Floating_Huge.SK_Echo_Floating_Huge,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Floating_Huge_Pulse_060.MI_Echo_Echo_Floating_Huge_Pulse_060
61,Echo_Insectoid_Tiny_Ember_061,Insectoid,0.3,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Insectoid_Tiny.SK_Echo_Insectoid_Tiny,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Insectoid_Tiny_Ember_061.MI_Echo_Echo_Insectoid_Tiny_Ember_061
62,Echo_Insectoid_Tiny_Frost_062,Insectoid,0.3,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Insectoid_Tiny.SK_Echo_Insectoid_Tiny,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Insectoid_Tiny_Frost_062.MI_Echo_Echo_Insectoid_Tiny_Frost_062
63,Echo_Insectoid_Tiny_Pulse_063,Insectoid,0.3,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Insectoid_Tiny.SK_Echo_Insectoid_Tiny,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Insectoid_Tiny_Pulse_063.MI_Echo_Echo_Insectoid_Tiny_Pulse_063
64,Echo_Insectoid_Small_Ember_064,Insectoid,0.6,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Insectoid_Small.SK_Echo_Insectoid_Small,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Insectoid_Small_Ember_064.MI_Echo_Echo_Insectoid_Small_Ember_064
65,Echo_Insectoid_Small_Frost_065,Insectoid,0.6,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Insectoid_Small.SK_Echo_Insectoid_Small,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Insectoid_Small_Frost_065.MI_Echo_Echo_Insectoid_Small_Frost_065
66,Echo_Insectoid_Small_Pulse_066,Insectoid,0.6,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Insectoid_Small.SK_Echo_Insectoid_Small,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Insectoid_Small_Pulse_066.MI_Echo_Echo_Insectoid_Small_Pulse_066
67,Echo_Insectoid_Medium_Ember_067,Insectoid,1.0,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Insectoid_Medium.SK_Echo_Insectoid_Medium,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Insectoid_Medium_Ember_067.MI_Echo_Echo_Insectoid_Medium_Ember_067
68,Echo_Insectoid_Medium_Frost_068,Insectoid,1.0,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Insectoid_Medium.SK_Echo_Insectoid_Medium,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Insectoid_Medium_Frost_068.MI_Echo_Echo_Insectoid_Medium_Frost_068
69,Echo_Insectoid_Medium_Pulse_069,Insectoid,1.0,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Insectoid_Medium.SK_Echo_Insectoid_Medium,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Insectoid_Medium_Pulse_069.MI_Echo_Echo_Insectoid_Medium_Pulse_069
70,Echo_Insectoid_Large_Ember_070,Insectoid,1.5,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Insectoid_Large.SK_Echo_Insectoid_Large,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Insectoid_Large_Ember_070.MI_Echo_Echo_Insectoid_Large_Ember_070
71,Echo_Insectoid_Large_Frost_071,Insectoid,1.5,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Insectoid_Large.SK_Echo_Insectoid_Large,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Insectoid_Large_Frost_071.MI_Echo_Echo_Insectoid_Large_Frost_071
72,Echo_Insectoid_Large_Pulse_072,Insectoid,1.5,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Insectoid_Large.SK_Echo_Insectoid_Large,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Insectoid_Large_Pulse_072.MI_Echo_Echo_Insectoid_Large_Pulse_072
73,Echo_Insectoid_Huge_Ember_073,Insectoid,2.5,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Insectoid_Huge.SK_Echo_Insectoid_Huge,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Insectoid_Huge_Ember_073.MI_Echo_Echo_Insectoid_Huge_Ember_073
74,Echo_Insectoid_Huge_Frost_074,Insectoid,2.5,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Insectoid_Huge.SK_Echo_Insectoid_Huge,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Insectoid_Huge_Frost_074.MI_Echo_Echo_Insectoid_Huge_Frost_074
75,Echo_Insectoid_Huge_Pulse_075,Insectoid,2.5,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Insectoid_Huge.SK_Echo_Insectoid_Huge,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Insectoid_Huge_Pulse_075.MI_Echo_Echo_Insectoid_Huge_Pulse_075
76,Echo_Avian_Tiny_Ember_076,Avian,0.3,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Avian_Tiny.SK_Echo_Avian_Tiny,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Avian_Tiny_Ember_076.MI_Echo_Echo_Avian_Tiny_Ember_076
77,Echo_Avian_Tiny_Frost_077,Avian,0.3,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Avian_Tiny.SK_Echo_Avian_Tiny,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Avian_Tiny_Frost_077.MI_Echo_Echo_Avian_Tiny_Frost_077
78,Echo_Avian_Tiny_Pulse_078,Avian,0.3,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Avian_Tiny.SK_Echo_Avian_Tiny,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Avian_Tiny_Pulse_078.MI_Echo_Echo_Avian_Tiny_Pulse_078
79,Echo_Avian_Small_Ember_079,Avian,0.6,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Avian_Small.SK_Echo_Avian_Small,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Avian_Small_Ember_079.MI_Echo_Echo_Avian_Small_Ember_079
80,Echo_Avian_Small_Frost_080,Avian,0.6,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Avian_Small.SK_Echo_Avian_Small,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Avian_Small_Frost_080.MI_Echo_Echo_Avian_Small_Frost_080
81,Echo_Avian_Small_Pulse_081,Avian,0.6,3,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Avian_Small.SK_Echo_Avian_Small,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Avian_Small_Pulse_081.MI_Echo_Echo_Avian_Small_Pulse_081
82,Echo_Avian_Medium_Ember_082,Avian,1.0,1,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Avian_Medium.SK_Echo_Avian_Medium,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Avian_Medium_Ember_082.MI_Echo_Echo_Avian_Medium_Ember_082
83,Echo_Avian_Medium_Frost_083,Avian,1.0,2,/Game/ASTRAWILD/Characters/Echo/Meshes/SK_Echo_Avian_Medium.SK_Echo_Avian_Medium,/Game/ASTRAWILD/Characters/Echo/Materials/MI_Echo_Echo_Avian_Medium_Frost_083.MI_Echo_Echo_Avian_Medium_Frost_083
